Gene stable ID,Gene name,Gene description,Chromosome/scaffold name,Gene start (bp),Gene end (bp),Strand
ENSBTAG00000004860,SLC27A6,solute carrier family 27 member 6 [Source:VGNC Symbol_Acc:VGNC:34790],7,25037025,25117897,-1
ENSBTAG00000029007,U2,U2 spliceosomal RNA [Source:RFAM_Acc:RF00004],16,72812682,72812859,-1
ENSBTAG00000050468,IFNB3,"Bos taurus interferon, beta 3 (IFNB3), mRNA. [Source:RefSeq mRNA_Acc:NM_001114297]",8,23202997,23203634,1
ENSBTAG00000043319,U5,U5 spliceosomal RNA [Source:RFAM_Acc:RF00020],16,72967480,72967597,1
ENSBTAG00000051622,IFNB3,"Bos taurus interferon, beta 3 (IFNB3), mRNA. [Source:RefSeq mRNA_Acc:NM_001114297]",8,23206708,23207345,1
ENSBTAG00000021270,UMODL1,uromodulin like 1 [Source:VGNC Symbol_Acc:VGNC:52839],1,142327757,142403210,1
ENSBTAG00000010850,SERTAD4,SERTA domain containing 4 [Source:VGNC Symbol_Acc:VGNC:34486],16,73094210,73105682,-1
ENSBTAG00000048993,IFNB3,"Bos taurus interferon, beta 3 (IFNB3), mRNA. [Source:RefSeq mRNA_Acc:NM_001114297]",8,23210422,23211059,1
ENSBTAG00000038148,SOWAHB,sosondowah ankyrin repeat domain family member B [Source:VGNC Symbol_Acc:VGNC:35138],6,91734617,91736950,-1
ENSBTAG00000045885,bta-mir-3064,bta-mir-3064 [Source:miRBase_Acc:MI0031503],19,48680498,48680581,-1
ENSBTAG00000050648,,,17,55420458,55421052,-1
ENSBTAG00000017808,ARSJ,arylsulfatase family member J [Source:VGNC Symbol_Acc:VGNC:26178],6,11555988,11639287,1
ENSBTAG00000021653,TRIP12,thyroid hormone receptor interactor 12 [Source:VGNC Symbol_Acc:VGNC:36358],2,117811397,117918447,-1
ENSBTAG00000003128,SPATA6,spermatogenesis associated 6 [Source:VGNC Symbol_Acc:VGNC:35189],3,97776435,97942867,1
ENSBTAG00000046967,,interferon alpha-2 [Source:NCBI gene (formerly Entrezgene)_Acc:787343],8,23229328,23229888,1
ENSBTAG00000014002,CEP95,centrosomal protein 95 [Source:VGNC Symbol_Acc:VGNC:27219],19,48686458,48723349,1
ENSBTAG00000002939,FURIN,"furin, paired basic amino acid cleaving enzyme [Source:VGNC Symbol_Acc:VGNC:29146]",21,21780694,21793171,-1
ENSBTAG00000050580,,,11,28094209,28098374,1
ENSBTAG00000003541,ZNF614,zinc finger protein 614 [Source:VGNC Symbol_Acc:VGNC:37313],18,57852499,57858521,1
ENSBTAG00000019554,FBP2,fructose-bisphosphatase 2 [Source:VGNC Symbol_Acc:VGNC:28888],8,81003304,81046397,-1
ENSBTAG00000046723,SYT14,synaptotagmin 14 [Source:NCBI gene (formerly Entrezgene)_Acc:787880],16,73169607,73359804,-1
ENSBTAG00000014027,TRIM36,tripartite motif containing 36 [Source:VGNC Symbol_Acc:VGNC:36331],10,3972433,4015816,-1
ENSBTAG00000051058,,,8,23259675,23293024,1
ENSBTAG00000010046,ZNF350,zinc finger protein 350 [Source:NCBI gene (formerly Entrezgene)_Acc:515334],18,57875071,57894839,1
ENSBTAG00000048634,,interferon beta-2 [Source:NCBI gene (formerly Entrezgene)_Acc:784525],8,23295861,23296421,1
ENSBTAG00000006416,EMC4,ER membrane protein complex subunit 4 [Source:VGNC Symbol_Acc:VGNC:28465],10,28388336,28391846,-1
ENSBTAG00000054338,bta-mir-12045,bta-mir-12045 [Source:miRBase_Acc:MI0038469],1,1666063,1666125,-1
ENSBTAG00000053248,bta-mir-2285bs,bta-mir-2285bs [Source:miRBase_Acc:MI0038361],1,1727075,1727135,-1
ENSBTAG00000054945,,"interleukin 6 (interferon, beta 2) [Source:NCBI gene (formerly Entrezgene)_Acc:517016]",8,23322793,23323353,1
